episode,timestep,reward
166,2000,-1.8062
330,4000,-1.5693
483,6000,-0.4834
627,8000,0.3022
756,10000,2.4321
878,12000,2.4843
983,14000,5.5745
1098,16000,4.7518
1178,18000,10.6248
1258,20000,9.7649
1324,22000,16.2163
1380,24000,20.4045
1428,26000,28.102
1468,28000,33.6426
1499,30000,43.9406
1533,32000,39.3142
1558,34000,60.9975
1581,36000,72.7797
1597,38000,119.8648
1616,40000,125.8222
1629,42000,166.1396
1645,44000,141.999
1655,46000,173.6088
1667,48000,171.0778
1683,50000,113.0664
1697,52000,163.7522
1708,54000,249.7873
1719,56000,237.0965
1731,58000,173.3239
1739,60000,219.9498
1750,62000,266.5476
1761,64000,210.3694
1774,66000,185.6373
1783,68000,248.7569
1794,70000,244.0881
1804,72000,234.0866
1815,74000,208.2774
1824,76000,240.876
1834,78000,211.1009
1841,80000,218.0269
1849,82000,370.6909
1860,84000,295.1459
1872,86000,248.4641
1881,88000,190.1932
1890,90000,274.9193
1900,92000,282.9274
1908,94000,315.1336
1919,96000,272.6303
1928,98000,306.4506
1936,100000,286.0892
1946,102000,278.6783
1955,104000,214.018
1963,106000,339.7537
1973,108000,288.7409
1985,110000,282.1436
1993,112000,311.5347
2001,114000,366.3117
2011,116000,250.9651
2021,118000,293.7997
2030,120000,292.5058
2040,122000,274.8829
2050,124000,275.5053
2060,126000,288.757
2069,128000,290.1113
2077,130000,301.8398
2088,132000,319.9962
2099,134000,288.9542
2109,136000,279.5792
2121,138000,309.9803
2131,140000,288.4848
2141,142000,323.8969
2150,144000,296.275
2159,146000,358.6988
2167,148000,301.5173
2176,150000,349.2378
2187,152000,258.186
2198,154000,266.1169
2207,156000,322.1422
2216,158000,343.9686
2226,160000,337.3295
2235,162000,352.6716
2243,164000,333.9684
2255,166000,295.2484
2265,168000,322.6675
2275,170000,210.8254
2285,172000,340.7234
2295,174000,298.3603
2306,176000,318.8864
2318,178000,289.0367
2327,180000,317.577
2338,182000,309.5151
2348,184000,327.4702
2357,186000,257.8982
2368,188000,322.3591
2377,190000,306.2387
2386,192000,306.5211
2397,194000,315.9284
2406,196000,358.7509
2416,198000,301.0559
2428,200000,295.7862
2439,202000,319.0235
2449,204000,317.0943
2459,206000,347.4839
2470,208000,315.3414
2479,210000,323.3193
2487,212000,408.063
2499,214000,311.7534
2508,216000,353.4546
2518,218000,351.9476
2528,220000,336.6797
2538,222000,341.611
2547,224000,367.5469
2556,226000,358.3443
2567,228000,307.6927
2578,230000,309.7206
2590,232000,298.4095
2600,234000,304.8402
2611,236000,326.6893
2620,238000,351.2804
2630,240000,337.8427
2641,242000,321.7059
2652,244000,320.7634
2660,246000,382.7224
2672,248000,309.4015
2682,250000,342.3352
2692,252000,358.7877
2703,254000,343.5704
2714,256000,312.045
2723,258000,338.1852
2733,260000,321.7905
2744,262000,284.5081
2753,264000,337.7904
2764,266000,337.2941
2776,268000,314.032
2787,270000,335.6177
2798,272000,351.9776
2808,274000,321.0406
2819,276000,311.4754
2830,278000,342.9451
2841,280000,331.0011
2853,282000,339.9278
2863,284000,314.0732
2874,286000,347.7417
2885,288000,347.0845
2896,290000,343.9085
2905,292000,382.1219
2916,294000,354.944
2927,296000,345.8989
2937,298000,356.0783
2948,300000,348.9742
2958,302000,352.1862
2968,304000,370.9488
2980,306000,336.5704
2990,308000,360.3909
3000,310000,381.4801
3011,312000,345.1747
3021,314000,372.9163
3031,316000,376.1471
3041,318000,368.9341
3051,320000,343.8047
3060,322000,388.1343
3070,324000,380.7505
3080,326000,359.853
3090,328000,386.1952
3100,330000,375.4227
3109,332000,390.0665
3119,334000,380.4816
3129,336000,379.0551
3139,338000,376.55
3150,340000,352.2567
3160,342000,348.1038
3170,344000,369.8394
3178,346000,414.0492
3188,348000,353.7501
3198,350000,381.9676
3208,352000,360.7287
3219,354000,361.8144
3229,356000,379.442
3239,358000,366.8014
3249,360000,382.5585
3258,362000,395.0828
3268,364000,365.0323
3277,366000,355.2453
3288,368000,365.0289
3299,370000,338.4478
3308,372000,374.7564
3319,374000,366.749
3329,376000,358.0994
3339,378000,366.8336
3349,380000,387.6932
3359,382000,367.442
3370,384000,373.4408
3380,386000,361.5643
3391,388000,345.7705
3401,390000,373.4299
3411,392000,340.4073
3421,394000,382.4758
3430,396000,412.0532
3440,398000,394.073
3450,400000,387.3704
3459,402000,401.9447
3470,404000,378.0586
3480,406000,390.3191
3489,408000,401.7522
3500,410000,354.7189
3509,412000,384.0535
3519,414000,401.5573
3529,416000,388.1884
3539,418000,375.5836
3549,420000,387.4527
3559,422000,375.4968
3569,424000,386.2964
3578,426000,427.6007
3588,428000,380.5382
3599,430000,354.9028
3610,432000,360.1748
3620,434000,387.9083
3630,436000,384.6347
3640,438000,385.57
3650,440000,380.8961
3660,442000,400.7588
3669,444000,404.1962
3680,446000,383.296
3689,448000,402.3808
3699,450000,409.3617
3709,452000,364.6541
3719,454000,405.052
3729,456000,363.9806
3738,458000,425.5743
3748,460000,394.4779
3757,462000,398.3111
3767,464000,376.5137
3778,466000,362.0998
3787,468000,393.2056
3798,470000,384.809
3808,472000,412.2892
3818,474000,395.4766
3828,476000,374.2397
3839,478000,368.7811
3849,480000,418.075
3858,482000,437.2535
3868,484000,394.8881
3877,486000,420.8855
3886,488000,394.2151
3896,490000,383.3369
3907,492000,386.0845
3916,494000,362.0037
3926,496000,432.8385
3936,498000,403.432
3946,500000,381.1819
3954,502000,464.3655
3965,504000,386.5503
3975,506000,424.8064
3985,508000,422.3796
3995,510000,414.8126
4004,512000,452.7028
4015,514000,378.0868
4025,516000,433.8787
4035,518000,412.5855
4045,520000,392.4248
4055,522000,428.4681
4065,524000,420.2655
4075,526000,415.7198
4085,528000,423.421
4095,530000,436.5275
4104,532000,424.2484
4114,534000,420.1626
4124,536000,436.4201
4134,538000,421.4284
4143,540000,461.3984
4153,542000,398.1764
4162,544000,474.0658
4172,546000,452.6751
4181,548000,448.981
4191,550000,450.0117
4199,552000,505.8505
4208,554000,455.0899
4218,556000,416.4961
4228,558000,450.1777
4237,560000,506.6617
4246,562000,459.63
4256,564000,424.6693
4266,566000,439.7675
4276,568000,457.7652
4285,570000,453.7039
4294,572000,487.4728
4304,574000,463.1787
4314,576000,456.3423
4323,578000,498.1129
4333,580000,470.2607
4342,582000,490.7275
4351,584000,506.3889
4360,586000,526.5533
4369,588000,499.624
4378,590000,485.8561
4388,592000,435.6796
4397,594000,472.0961
4406,596000,533.8891
4416,598000,483.0634
4425,600000,466.4501
4434,602000,590.8986
4441,604000,629.0541
4450,606000,546.0014
4458,608000,524.3428
4467,610000,509.5242
4477,612000,475.1176
4486,614000,490.0679
4494,616000,551.7167
4503,618000,522.1135
4512,620000,536.6799
4521,622000,482.415
4529,624000,572.677
4539,626000,496.5854
4545,628000,716.2055
4555,630000,492.4829
4561,632000,635.5918
4570,634000,593.6623
4579,636000,499.1763
4587,638000,554.0188
4592,640000,977.6238
4598,642000,745.2202
4604,644000,751.2398
4613,646000,592.6066
4620,648000,705.1168
4627,650000,552.332
4635,652000,641.0974
4643,654000,537.5107
4652,656000,548.9371
4660,658000,550.6349
4669,660000,513.9578
4678,662000,519.253
4686,664000,573.2731
4694,666000,610.279
4703,668000,550.0729
4711,670000,597.342
4719,672000,603.8853
4727,674000,602.3636
4732,676000,1024.0446
4740,678000,583.3639
4746,680000,784.7324
4755,682000,605.8779
4763,684000,603.8626
4770,686000,627.5728
4779,688000,563.3237
4787,690000,631.4741
4795,692000,593.5423
4802,694000,721.4032
4809,696000,707.7148
4817,698000,524.0324
4823,700000,839.5998
4832,702000,504.7964
4839,704000,593.3443
4846,706000,653.2749
4855,708000,589.1184
4862,710000,699.2929
4867,712000,996.2617
4874,714000,716.8773
4881,716000,684.6991
4888,718000,717.2967
4893,720000,770.3157
4901,722000,690.6348
4907,724000,854.9137
4913,726000,892.9641
4921,728000,643.7592
4927,730000,820.2737
4933,732000,792.5141
4940,734000,728.2997
4947,736000,656.705
4954,738000,716.8094
4960,740000,690.0728
4967,742000,751.0789
4974,744000,782.6039
4981,746000,692.5461
4988,748000,717.9432
4995,750000,683.9298
5001,752000,844.9795
5007,754000,844.1767
5012,756000,921.9876
5019,758000,836.9387
5024,760000,948.0037
5031,762000,662.8711
5037,764000,941.3796
5044,766000,557.9144
5052,768000,694.3047
5057,770000,1032.1697
5064,772000,760.4065
5069,774000,1131.2311
5075,776000,801.6886
5081,778000,732.3248
5089,780000,676.3111
5095,782000,814.5039
5101,784000,955.0634
5109,786000,624.9956
5114,788000,978.9179
5119,790000,1047.7348
5126,792000,683.8185
5131,794000,891.3525
5136,796000,1238.1769
5141,798000,802.8618
5146,800000,1119.6886
5152,802000,993.5859
5160,804000,606.1249
5166,806000,717.719
5173,808000,877.0209
5181,810000,627.2889
5187,812000,760.8334
5193,814000,762.2212
5199,816000,952.9995
5205,818000,808.3988
5212,820000,798.2413
5220,822000,683.0897
5229,824000,615.8871
5237,826000,584.5534
5242,828000,905.2005
5247,830000,1117.758
5253,832000,911.5884
5260,834000,824.6784
5266,836000,869.55
5271,838000,1049.9519
5279,840000,601.3349
5284,842000,1049.8535
5289,844000,905.7998
5296,846000,770.5707
5302,848000,848.7239
5306,850000,1347.094
5312,852000,968.7635
5320,854000,628.2775
5324,856000,1472.3126
5328,858000,1257.4657
5336,860000,613.303
5342,862000,673.4287
5348,864000,1019.0006
5356,866000,747.0002
5361,868000,595.7604
5368,870000,945.6506
5374,872000,641.9029
5380,874000,860.0306
5385,876000,1072.8932
5390,878000,1155.8115
5396,880000,880.4675
5400,882000,1428.6886
5403,884000,1494.8313
5407,886000,1532.9831
5412,888000,1139.4879
5417,890000,951.4825
5421,892000,1515.2818
5425,894000,868.9776
5429,896000,1588.1195
5436,898000,779.3852
5443,900000,795.8919
5449,902000,765.7186
5455,904000,872.1683
5461,906000,746.909
5464,908000,1950.0579
5469,910000,1131.9012
5476,912000,891.4669
5484,914000,591.15
5489,916000,841.3053
5496,918000,816.8589
5502,920000,903.761
5508,922000,908.3449
5512,924000,1330.2033
5518,926000,871.8362
5524,928000,805.879
5530,930000,771.5871
5536,932000,871.095
5543,934000,708.2982
5547,936000,1263.2713
5552,938000,974.988
5557,940000,772.1585
5564,942000,922.7097
5570,944000,864.0927
5578,946000,731.9391
5582,948000,1455.147
5590,950000,679.9996
5596,952000,829.4198
5602,954000,943.5852
5610,956000,659.3136
5615,958000,1078.479
5620,960000,1120.2187
5625,962000,777.5166
5632,964000,771.6751
5637,966000,1055.5111
5642,968000,1049.7625
5649,970000,840.4369
5654,972000,1029.5033
5659,974000,867.697
5663,976000,1209.2673
5669,978000,1071.252
5672,980000,1560.5407
5678,982000,976.3231
5683,984000,1032.5419
5688,986000,1088.8091
5695,988000,803.8256
5701,990000,863.8181
5707,992000,956.8939
5709,994000,1886.6481
5714,996000,1379.1649
5720,998000,881.0246
5726,1000000,846.3174
5733,1002000,828.8268
5738,1004000,928.5445
5745,1006000,807.4704
5750,1008000,932.5429
5756,1010000,881.987
5761,1012000,880.0609
5764,1014000,1656.1022
5769,1016000,1395.4983
5774,1018000,823.7002
5782,1020000,809.7762
5787,1022000,1156.4029
5792,1024000,748.8187
5800,1026000,853.3276
5803,1028000,1091.4003
5808,1030000,1608.9536
5813,1032000,964.3056
5819,1034000,877.0701
5826,1036000,704.033
5832,1038000,991.5779
5837,1040000,1185.4975
5840,1042000,1585.2266
5847,1044000,890.3142
5854,1046000,807.1536
5859,1048000,1195.6845
5864,1050000,999.1291
5868,1052000,1143.5843
5874,1054000,1079.4083
5880,1056000,935.0555
5884,1058000,1288.5887
5891,1060000,828.2026
5898,1062000,771.3398
5905,1064000,670.7603
5910,1066000,1108.84
5914,1068000,1394.5407
5919,1070000,1195.6833
5926,1072000,877.3707
5933,1074000,714.4905
5938,1076000,1039.2846
5944,1078000,1094.8774
5949,1080000,948.0079
5954,1082000,982.8632
5960,1084000,841.0453
5967,1086000,805.1541
5971,1088000,1370.3166
5976,1090000,1163.9458
5982,1092000,983.0245
5986,1094000,1104.8916
5991,1096000,1334.4548
5995,1098000,1113.2169
6000,1100000,1152.3349
6004,1102000,1205.3234
6011,1104000,719.9899
6016,1106000,1243.6466
6020,1108000,1157.4624
6025,1110000,978.7487
6032,1112000,852.8338
6038,1114000,854.5449
6043,1116000,1106.2689
6050,1118000,794.9846
6055,1120000,1155.1565
6062,1122000,761.4339
6067,1124000,1010.919
6072,1126000,962.3445
6075,1128000,1703.1438
6081,1130000,1159.1686
6089,1132000,696.9779
6094,1134000,1100.6462
6101,1136000,753.1946
6109,1138000,689.7704
6117,1140000,617.1848
6123,1142000,841.1565
6130,1144000,739.1876
6137,1146000,809.2617
6141,1148000,1226.2937
6147,1150000,949.7672
6153,1152000,896.9521
6159,1154000,1056.6652
6166,1156000,668.8135
6171,1158000,1162.3934
6177,1160000,963.4186
6183,1162000,924.7897
6189,1164000,632.5615
6195,1166000,1038.0658
6202,1168000,785.8499
6206,1170000,1372.0192
6210,1172000,1252.4041
6216,1174000,1023.0743
6222,1176000,1108.9482
6228,1178000,882.292
6234,1180000,893.2665
6240,1182000,945.3103
6244,1184000,1209.1661
6251,1186000,888.5279
6258,1188000,751.8581
6265,1190000,755.2353
6272,1192000,729.9525
6278,1194000,877.7993
6283,1196000,1207.7275
6288,1198000,1040.3682
6294,1200000,753.6562
6301,1202000,915.1753
6306,1204000,746.6646
6311,1206000,1508.8862
6317,1208000,855.5272
6323,1210000,945.9118
6331,1212000,675.1318
6337,1214000,895.9433
6342,1216000,1016.4902
6348,1218000,827.7621
6355,1220000,897.1855
6362,1222000,593.437
6368,1224000,1079.4959
6373,1226000,1135.8895
6378,1228000,894.8202
6384,1230000,871.0846
6390,1232000,1031.945
6395,1234000,910.8869
6403,1236000,785.1334
6409,1238000,904.281
6416,1240000,757.2231
6422,1242000,927.8293
6430,1244000,598.2362
6437,1246000,835.8001
6443,1248000,893.8173
6449,1250000,851.6288
6456,1252000,769.0103
6462,1254000,900.6603
6467,1256000,1131.2779
6474,1258000,816.1094
6479,1260000,1131.7397
6485,1262000,839.2363
6491,1264000,888.4516
6496,1266000,1176.9363
6501,1268000,1139.4861
6506,1270000,1050.3936
6513,1272000,888.8014
6519,1274000,967.1738
6524,1276000,784.6415
6531,1278000,1109.8407
6538,1280000,719.634
6543,1282000,1132.1983
6549,1284000,1145.2105
6555,1286000,967.5357
6560,1288000,1106.8657
6565,1290000,1105.4669
6571,1292000,853.6573
6579,1294000,713.2585
6584,1296000,981.2622
6591,1298000,849.3919
6598,1300000,787.6234
6601,1302000,1681.6304
6608,1304000,866.1527
6614,1306000,918.0856
6619,1308000,1208.9737
6626,1310000,692.6219
6630,1312000,1335.669
6634,1314000,1504.6379
6638,1316000,1326.3591
6644,1318000,1073.4659
6650,1320000,1027.7983
6656,1322000,705.4441
6661,1324000,1354.8419
6667,1326000,870.8534
6672,1328000,964.0054
6677,1330000,1413.7213
6684,1332000,676.5251
6690,1334000,1013.6202
6695,1336000,1061.289
6701,1338000,954.4784
6706,1340000,1189.1733
6711,1342000,1023.5301
6715,1344000,1463.8462
6721,1346000,947.8512
6726,1348000,1231.4333
6730,1350000,1289.2343
6736,1352000,696.8973
6741,1354000,1408.8512
6746,1356000,1062.2353
6751,1358000,1250.8093
6757,1360000,887.9943
6763,1362000,972.434
6768,1364000,1025.2227
6775,1366000,813.4981
6781,1368000,876.7099
6787,1370000,957.5141
6794,1372000,833.3395
6799,1374000,1315.5598
6804,1376000,1043.7946
6808,1378000,1395.2694
6813,1380000,1190.7994
6817,1382000,1004.6839
6824,1384000,943.8708
6829,1386000,1343.4699
6833,1388000,1201.4391
6838,1390000,959.1235
6843,1392000,1416.3846
6850,1394000,754.1599
6856,1396000,1096.3503
6861,1398000,1170.7336
6866,1400000,934.857
6873,1402000,856.8356
6877,1404000,1561.718
6882,1406000,1136.6267
6886,1408000,1494.1181
6891,1410000,874.0784
6896,1412000,1363.3619
6902,1414000,883.7794
6907,1416000,1076.9778
6913,1418000,1124.7185
6919,1420000,673.4584
6926,1422000,926.7833
6932,1424000,1048.4115
6938,1426000,802.7037
6943,1428000,1110.7931
6949,1430000,731.6204
6953,1432000,1672.4297
6956,1434000,1537.0675
6961,1436000,1350.3063
6967,1438000,1067.0262
6972,1440000,1322.2495
6977,1442000,1005.7185
6982,1444000,1425.7803
6986,1446000,1209.7806
6991,1448000,1189.8773
6995,1450000,1131.9716
7001,1452000,1153.8765
7007,1454000,898.365
7011,1456000,906.3105
7017,1458000,1126.8129
7020,1460000,1745.7046
7026,1462000,978.1028
7030,1464000,1685.3331
7035,1466000,1000.8302
7041,1468000,1033.6852
7047,1470000,934.1091
7052,1472000,983.2688
7058,1474000,1007.3474
7063,1476000,1055.572
7069,1478000,876.3236
7072,1480000,1787.9038
7081,1482000,677.2585
7086,1484000,1104.3137
7091,1486000,871.0036
7097,1488000,1149.2938
7103,1490000,833.1496
7109,1492000,1019.7911
7114,1494000,1203.5772
7118,1496000,1345.5346
7123,1498000,1219.3355
7128,1500000,949.0816
7132,1502000,1446.0528
7139,1504000,933.2656
7142,1506000,1840.4637
7146,1508000,1348.3746
7152,1510000,1006.48
7156,1512000,1369.2977
7161,1514000,1002.2211
7165,1516000,1743.4738
7169,1518000,1257.412
7173,1520000,1125.8271
7178,1522000,1514.2385
7183,1524000,772.7019
7187,1526000,1758.3654
7192,1528000,1353.9175
7197,1530000,900.8143
7201,1532000,1386.0013
7206,1534000,1261.0199
7210,1536000,1018.4234
7213,1538000,1653.4459
7218,1540000,1283.1518
7224,1542000,1037.5473
7229,1544000,1146.7391
7234,1546000,845.3665
7239,1548000,1662.4368
7242,1550000,1657.6757
